,Unnamed: 0,kinematicbin,t,xB,Q^2,"A_{LT,I}^{cos(φ−φ_{s)}}","A_{LT,I}^{cos(φ−φ_{s)cosφ}}","A_{LT,I}^{cos(φ−φ_{s )cos(2φ)}}"
0,,,[GeV^{2} ],,[GeV^{2} ],±δ_{stat} ± δ_{syst},±δ_{stat} ± δ_{syst},±δ_{stat} ± δ_{syst}
1,,overall,0.12,0.09,2.5,−0.083 ± 0.082 ± 0.008,−0.068 ± 0.083 ± 0.005,0.027 ± 0.105 ± 0.005
2,t [GeV^2],0.00-0.06,0.03,0.08,1.9,−0.199 ± 0.135 ± 0.007,−0.162 ± 0.123 ± 0.006,−0.062 ± 0.169 ± 0.003
3,t [GeV^2],0.06-0.14,0.10,0.1,2.5,−0.004 ± 0.156 ± 0.007,0.193 ± 0.158 ± 0.007,0.358 ± 0.201 ± 0.012
4,t [GeV^2],0.14-0.30,0.20,0.11,2.9,−0.052 ± 0.173 ± 0.013,−0.275 ± 0.187 ± 0.014,−0.074 ± 0.224 ± 0.006
5,t [GeV^2],0.30-0.70,0.42,0.12,3.5,−0.011 ± 0.274 ± 0.008,−0.071 ± 0.335 ± 0.017,−0.255 ± 0.360 ± 0.020
6,xB,0.03-0.07,0.10,0.05,1.5,−0.150 ± 0.150 ± 0.004,0.067 ± 0.136 ± 0.005,0.137 ± 0.178 ± 0.007
7,xB,0.07-0.10,0.10,0.08,2.2,0.021 ± 0.162 ± 0.006,−0.049 ± 0.160 ± 0.008,−0.046 ± 0.208 ± 0.005
8,xB,0.10-0.15,0.13,0.12,3.1,−0.101 ± 0.171 ± 0.010,−0.348 ± 0.196 ± 0.018,−0.064 ± 0.227 ± 0.007
9,xB,0.15-0.35,0.20,0.2,5.0,0.017 ± 0.226 ± 0.009,−0.118 ± 0.292 ± 0.010,0.240 ± 0.299 ± 0.020
10,Q^2 [GeV^2],1.0-1.5,0.08,0.06,1.2,−0.296 ± 0.182 ± 0.011,0.150 ± 0.148 ± 0.008,0.221 ± 0.217 ± 0.006
11,Q^2 [GeV^2],1.5-2.3,0.10,0.08,1.9,0.011 ± 0.157 ± 0.005,−0.131 ± 0.150 ± 0.004,−0.150 ± 0.201 ± 0.006
12,Q^2 [GeV^2],2.3-3.5,0.13,0.11,2.8,0.022 ± 0.163 ± 0.010,−0.261 ± 0.184 ± 0.017,−0.006 ± 0.212 ± 0.004
13,Q^2 [GeV^2],3.5-10.0,0.19,0.17,4.9,−0.132 ± 0.171 ± 0.008,−0.119 ± 0.206 ± 0.005,0.138 ± 0.232 ± 0.012
